Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Dt_Customer_year,Income,Age,Divorced,Married,Single,Together,Widow,2n Cycle,Basic,Graduation,Master,PhD,AUS,CA,GER,IND,ME,SA,SP,US
0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,2014,84835.0,50,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,2014,57091.0,59,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,2014,67267.0,62,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2014,32474.0,53,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,2014,21474.0,31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,2014,71691.0,62,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,2014,63564.0,66,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,2014,44931.0,53,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,2014,65324.0,66,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,2014,65324.0,66,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,2013,81044.0,73,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,2013,62499.0,41,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,2013,67786.0,61,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,2013,26872.0,39,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,2013,4428.0,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,2013,54809.0,43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,2013,54809.0,43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
